FID,osmid,s,e,seg_length
437,"[609970352, 1056324147]",2528311030,316283661,12.88322098
438,543698051,9705210239,5255884007,0.918376061
439,"[31823417, 1047595302]",9660383102,9632993709,9.294962661
440,10594635,5281831688,92489171,6.864611519
441,1047605633,9633121221,9633063392,43.18900813
442,332455377,2936682637,5281831686,33.73830733
443,33693780,34505894,156360984,8.937961475
444,661763473,4326566911,3779191043,14.71122701
445,"[386288953, 500735161, 374547551]",6052666721,4835680012,57.60848954
446,596103315,5678636141,3965880736,94.94753211
447,340245805,3474613681,3474613676,27.29497628
448,131497949,343771946,343771918,33.26930991
449,685614766,92493816,300833834,47.87315082
450,1047613003,9660896847,9633153751,21.36733459
451,4730416,140402611,3942514145,31.56162906
452,1044794174,9656211989,9613398972,6.968370258
453,623564034,5888716842,5888716841,6.650638396
454,"[58658649, 24978196]",271411897,140416888,127.2356964
455,1051231402,9660357616,9660357613,20.29698773
456,1050774798,9656038635,1032369080,5.723786912
457,596103319,5679622671,5679622592,3.952403165
458,290296858,9627715532,2938530110,8.595786209
459,1049576924,9706184443,9645470436,3.750025429
460,25983498,59612160,8530038749,56.78050029
461,1047304825,9630404959,9630388092,3.157127262
462,1050757743,9655843232,9632900495,9.380962485
463,33694486,3251866827,30795605,11.19209286
464,445003253,5777113992,5777113874,71.55790998
465,544418922,3961895977,28961398,11.55168054
466,525958045,30795580,1388689533,8.513954723
467,160044283,1721058181,1721058174,9.196299933
468,15801861,9706184446,347341553,30.77932713
469,"[4398888, 4399120, 60447878]",7746385642,154606400,29.2896605
470,"[623562568, 1051111377, 1051111378, 1051111379, 1051111380, 1051111381, 1051111382, 1051111383]",5679622661,5679622636,64.92458025
471,1047606545,9633133520,9633115069,81.86851457
472,527458577,5777113890,5777113889,6.280810364
473,"[1047288491, 429288348, 332455407, 10755051]",4392778978,5777113872,74.07599231
474,1047302779,9664609007,9630394735,24.33953847
475,"[942456034, 942456035, 550432836]",3947490896,3437355089,67.13509896
476,1056324148,5777113813,2528311025,4.815909855
477,15676320,5257661177,3250568442,6.603894919
478,529405565,28887288,3779243541,21.82973733
479,149233866,1622451498,26886978,9.291031312
480,131497920,1447225880,343771871,9.669765746
481,"[623562576, 623562575]",6105450836,3474613672,40.24012915
482,4803560,3407334055,3250568412,42.0813681
483,160044290,1721058322,1721058274,9.239200345
484,332455401,156352016,140401148,32.16886376
485,"[1061209505, 1050875444, 1050875445, 1050875446, 1050875447]",9750284039,9657073669,57.94626387
486,1049576925,9706184446,9645470438,4.683814229
487,"[623562577, 623562573]",6105450835,5888701562,26.27265527
488,377964919,5219957759,5115701914,5.618859162
489,33694486,9706185947,9706185971,36.12737931
490,248669678,3251966772,2554281735,53.24509248
491,15677510,3961895973,27481921,35.40644016
492,"[4626882, 1055784508]",1027327562,338640128,31.75629559
493,1013813174,9634087996,1388689519,5.846143973
494,1051691519,9622522018,156360984,5.165375261
495,"[1056324155, 1056324156, 1056324157]",9706185770,4052339827,28.03867888
496,15677510,92489491,92489170,105.5951181
497,146778074,5679622606,1600183702,8.245413819
498,838224599,7935090985,7823210747,11.24011632
499,88438860,5115701916,26114490,6.492989371
500,4799414,300029702,148880569,6.562185124
501,10594568,1037402756,370531291,12.50287229
502,"[546559505, 546559498]",5281831691,3961895981,11.03329893
503,527458577,9654694904,5777113868,5.669629593
504,146977155,3919338897,34505893,11.2575085
505,1047303570,9630395086,9630385381,8.318673479
506,1047304825,9706184470,9664611711,45.76798075
507,27391434,3770972264,92487166,97.81440615
508,"[5087344, 5087333]",3336760539,1388651186,17.21436992
509,4799467,9622510457,5257661207,6.657070262
510,"[1056324162, 1056324163, 1056324164]",9706185794,9706185791,18.62975169
511,1047603124,9633097457,9633032364,83.10209422
512,"[492505586, 445003251]",4845210657,4424600936,23.24344982
513,546559501,5281831692,5281831691,88.49052322
514,"[1056324194, 1056324195, 1056324170, 1056324171, 1056324172]",9706186018,9706184422,62.18638856
515,1051305248,9661041114,9661041113,9.520506329
516,1046985179,9627712509,3961895973,8.402917566
517,69184467,364713590,26807336,18.32591435
