FID,osmid,s,e,seg_length
448,"[375602930, 375602932, 375602663]",3932847286,3789572635,17.89273305
449,664950981,6223969250,6223969246,67.3042109
450,438382685,7234050796,42446959,109.2495382
451,5672149,42443556,42445920,148.9734479
452,974611016,9019680393,9019680390,9.035462352
453,989793293,3786901743,8119462456,11.63710544
454,965834570,61275605,247120300,12.1998445
455,"[113722992, 901619658, 901619659]",6593520163,1289222431,30.71100926
456,533464384,42457925,42457940,118.035832
457,398379311,3670418743,3569749123,7.642021482
458,672581827,7761301150,6298391901,13.39813723
459,5673497,42440153,42445928,156.0580229
460,452322757,42439994,42428303,49.18861233
461,888552436,6656272035,6382118323,16.16268845
462,1035187237,9535571849,9235539538,246.2626599
463,833665318,8265964357,7782187280,1.649547139
464,385668565,3847026391,6814269857,54.79168296
465,"[888552490, 1021760877]",8261122836,8261122307,11.52106061
466,"[819899884, 1021569491, 1021569492]",5538485420,4870298759,14.31389463
467,767683114,4443775465,8660001944,9.415408239
468,945305171,8751484424,8751484422,7.263882834
469,945305225,8751484581,8751484578,7.359784294
470,46521993,42430371,4544486780,39.18704235
471,834351981,7788498920,4625652077,1.507415816
472,194926854,8660596985,42435650,7.030139263
473,1000529765,9235539542,9235539538,14.78506001
474,888695638,8262308982,8261123015,248.6903126
475,500717399,42428264,42439960,165.2982697
476,519705406,247122534,247122533,20.36142015
477,602266745,3875091645,3817760670,9.927577185
478,717634371,9140924713,247120348,13.88296974
479,46481738,8592620027,9421943093,45.32037267
480,1021569546,9421943123,8261044795,2.072941586
481,378363529,3817760024,3817760023,18.79548584
482,888552474,8261122756,8261122676,8.560092558
483,196116976,3463816116,8785244254,65.35824677
484,46481741,42430651,8261122945,11.83338239
485,702543827,6597498402,6597498386,62.07453152
486,702543827,7581386278,6597498400,238.1856645
487,68674961,8122411164,561042197,39.01020597
488,464902522,4599496700,3799564971,26.33289491
489,388240124,4234425052,42449926,7.045381279
490,"[727702632, 727702633, 458177131]",42444047,420591230,36.45516195
491,893819978,8307463102,8307463095,9.93065009
492,888552487,8585752284,8261122831,87.94612532
493,618990022,2653473644,42431549,80.64260634
494,"[380992602, 380991639]",4676426948,3842775628,56.43241445
495,934479972,8660596953,8660596937,19.83680866
496,375972519,3793098361,3775435272,4.379313668
497,297995669,247798312,247798310,43.08859746
498,"[833665331, 833665311]",7782217024,7782217007,13.31038865
499,22941791,701607044,2710239312,22.91806848
500,818129148,7640871328,7640856873,62.1699111
501,989265264,373936427,373933306,73.34364187
502,226041001,4711654714,42445651,36.71189972
503,682360554,3974095829,42439984,9.740099348
504,"[833665325, 833665303]",7782216992,7782187271,9.734087636
505,607763000,7098760449,3670402920,61.12576116
506,833665300,7782217001,7782216998,285.5315735
507,989793295,561042191,8119462434,74.31933962
508,"[1032030521, 194926847]",42445011,42454433,274.3030234
509,891757983,8288270444,8288270382,7.707108317
510,989267827,42430600,8261123026,13.70532077
511,873366693,8133342841,8133342837,25.60443457
512,763972292,3686061874,3601295729,130.188548
513,420598366,42435624,42427427,54.04394093
514,888552555,8261123021,8261123016,62.61530982
515,46481742,8261122905,593915237,20.2954522
516,888552485,8261122825,6656308636,60.91000229
517,"[808190577, 195743301]",42450434,42440966,81.62670781
518,682360553,42439984,42428294,17.37671693
519,"[1021481752, 1021481753]",9421121488,1272674972,11.16370966
520,458166892,42434946,8133342837,72.45677087
521,113722990,1289222440,1289222399,133.0344977
